"HCC","Region","Sex","Chronic_Pct"
1,"Kedgwick, Saint-Quentin and Grimmer","Total",908.7
28,"Edmundston, Rivière-Verte, Lac Baker Area","Total",813.32
2,"Campbellton, Atholville, Tide Head Area","Total",758.62
6,"Shippagan, Lamèque, Inkerman Area","Total",719.12
3,"Dalhousie, Balmoral, Belledune Area","Total",702.08
7,"Tracadie and Saint-Isidore","Total",681.48
4,"Bathurst, Beresford, Petit-Rocher Area","Total",676.8
27,"Grand Falls, Saint-Léonard, Drummond Area","Total",667.88
5,"Caraquet, Paquetville, Bertrand Area","Total",632.86
10,"Bouctouche, Richibucto, Sainte-Antoine Area","Total",547.64
14.3,"Dieppe and Memramcook","Total",489.3
8,"Neguac, Alnwick, Esgenoopetitj Area","Total",487.58
12,"Shediac, Beaubassin East and Cap-Pelé","Total",485.82
9,"Miramichi, Rogersville, Blackville Area","Total",469.18
1,"Kedgwick, Saint-Quentin and Grimmer","Total",454.35
26,"Perth-Andover, Plaster Rock, Tobique Area","Total",428.76
28,"Edmundston, Rivière-Verte, Lac Baker Area","Total",406.66
19,"St. George, Grand Manan, Blacks Harbour Area","Total",389.84
14.2,"Moncton","Total",388.5
2,"Campbellton, Atholville, Tide Head Area","Total",379.31
18.1,"Saint John, Simonds and Musquash","Total",366.1
6,"Shippagan, Lamèque, Inkerman Area","Total",359.56
20,"St. Stephen, Saint Andrews, Campobello Island Area","Total",358.1
3,"Dalhousie, Balmoral, Belledune Area","Total",351.04
7,"Tracadie and Saint-Isidore","Total",340.74
4,"Bathurst, Beresford, Petit-Rocher Area","Total",338.4
14.1,"Riverview and Coverdale","Total",338.02
27,"Grand Falls, Saint-Léonard, Drummond Area","Total",333.94
25,"Florenceville-Bristol, Woodstock, Wakefield Area","Total",325.54
5,"Caraquet, Paquetville, Bertrand Area","Total",316.43
18.2,"Grand Bay-Westfield, Westfield, Greenwich Area","Total",302.34
17,"Minto, Chipman, Cambridge-Narrows Area","Total",300.5
11,"Salisbury and Petitcodiac","Total",299.08
18.3,"Quispamsis, Rothesay, Hampton Area","Total",295.1
13,"Sackville, Dorchester, Port Elgin Area","Total",283.42
16,"Sussex, Norton, Sussex Corner Area","Total",282.38
21,"Oromocto, Gagetown, Fredericton Junction Area","Total",274.48
10,"Bouctouche, Richibucto, Sainte-Antoine Area","Total",273.82
15,"Hillsborough, Riverside-Albert, Alma Area","Total",264.64
1,"Kedgwick, Saint-Quentin and Grimmer","Women",257.91
23,"Nackawic, McAdam, Canterbury Area","Total",257.14
22.1,"Fredericton","Total",248.14
22.2,"New Maryland, Kingsclear, Lincoln Area","Total",244.66
14.3,"Dieppe and Memramcook","Total",244.65
8,"Neguac, Alnwick, Esgenoopetitj Area","Total",243.79
